Asset ID,Asset Description,Work ID,Status,Event ID,Event Name,Actual Duration (HRS),date,mx type,mx time,Priority Number,Event Priority ,Avg Duration
GEN1,Purified Water System 1,MNT-198855,Closed,ME-007929,2 Year Maintenance,2,8/31/2019,ME,2yr,1,1,0.279801325
PWS1,Purified Water System 1,MNT-193431,Closed,ME-009019,2 Year Maintenance,30,10/16/2019,ME,2yr,1,1,0.175826446
ADM011,AlloFuse Dose Mold,MNT-213065,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/4/2020,ME,Monthly,1,4,0.456153846
ADM1,AlloFuse Dose Mold,MNT-212686,Closed,ME-009681,00367-PMCAL Monthly,0.25,11/22/2020,ME,Monthly,1,4,0.458672566
ADM10,AlloFuse Dose Mold,MNT-213064,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/4/2020,ME,Monthly,1,4,0.456153846
ADM12,AlloFuse Dose Mold,MNT-213421,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/14/2020,ME,Monthly,1,4,0.5
ADM13,AlloFuse Dose Mold,MNT-213066,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/4/2020,ME,Monthly,2,4,0.458672566
ADM14,AlloFuse Dose Mold,MNT-213067,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/4/2020,ME,Monthly,2,4,0.5
ADM15,AlloFuse Dose Mold,MNT-213068,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/4/2020,ME,Monthly,2,4,0.456153846
ADM16,AlloFuse Dose Mold,MNT-213069,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/4/2020,ME,Monthly,2,4,0.458672566
ADM17,AlloFuse Dose Mold,MNT-213070,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/4/2020,ME,Monthly,2,4,0.456153846
ADM18,AlloFuse Dose Mold,MNT-213071,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/4/2020,ME,Monthly,2,4,0.5
ADM19,AlloFuse Dose Mold,MNT-213310,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/10/2020,ME,Monthly,2,4,0.458672566
ADM2,AlloFuse Dose Mold,MNT-198949,Closed,ME-009681,00367-PMCAL Monthly,0.25,9/4/2019,ME,Monthly,1,4,0.456153846
ADM20,AlloFuse Dose Mold,MNT-213311,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/10/2020,ME,Monthly,2,4,0.5
ADM21,AlloFuse Dose Mold,MNT-213312,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/10/2020,ME,Monthly,2,4,0.458672566
ADM22,AlloFuse Dose Mold,MNT-213313,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/10/2020,ME,Monthly,2,4,0.456153846
ADM23,AlloFuse Dose Mold,MNT-213314,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/10/2020,ME,Monthly,2,4,0.5
ADM24,AlloFuse Dose Mold,MNT-213315,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/10/2020,ME,Monthly,2,4,0.458672566
ADM25,AlloFuse Dose Mold,MNT-213285,Closed,ME-009681,00367-PMCAL Monthly,0.25,12/10/2020,ME,Monthly,2,4,0.456153846
